Project ID,Project Name,Implementing Agency,Program,Project Description,Total Cost,SB 1 Funds,Fiscal Year,Is SB 1?,Project Status,Assembly Districts,Senate Districts,Counties,Cities,Caltrans Districts,Is on SHS?,Date Updated
'LSR-261,Resurfacing in Castro Valley,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Resurface 9 roadways; approximately 10,700 feet of roadway",963216,286855,18/19,Y,Completed,20,10,Alameda,,4,N,6/30/2021
'LSR-260,Resurfacing in Hayward and San Leandro,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Resurface 17 roadways; approximately 24,600 feet of roadway",2385515,1373026,18/19,Y,Completed,20,10,Alameda,,4,N,6/30/2021
'LSR-3415,2019 Slurry Seal Project,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Construct slurry seal on various roadways",1280000,316008,19/20,Y,InProgress,20,"09, 10",Alameda,,4,N,6/30/2021
'LSR-3416,2019 MicroSeal Project,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Construct asphalt rubber seal on various roadways",820000,253421,19/20,Y,InProgress,20,10,Alameda,,4,N,6/30/2021
'LSR-3417,"2019 Overlay Project-Ashland, Hayward",Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Construct asphalt concrete overlay on various roadways",1768000,1064977,19/20,Y,InProgress,20,"09, 10",Alameda,,4,N,6/30/2021
'LSR-3420,Hesperian Boulevard Corridor Improvement Project,Alameda County,Local Streets and Roads,"Bicycle Lane (New), Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Traffic Signals, Lights, and/or Signage Rehab/Repair (Existing Safety), Sidewalk and/or Crosswalk Rehab/Repair (Existing), Storm Drain and/or Culvert Rehab/Repair (Existing), Construct complete street improvements along a major business corridor including sidewalks, class II bike lanes, street lighting, storm drains,  traffic signals, crosswalks, pavement, landscaping and streetscaping",0,295993,19/20,Y,Planned,20,10,Alameda,,4,N,6/30/2021
'LSR-3421,East Avenue Sidewalk Project,Alameda County,Local Streets and Roads,"ADA Curb Ramp Rehab/Repair (Existing), Sidewalk and/or Crosswalk Rehab/Repair (Existing), Construct complete street improvements including curb, gutter, sidewalk, and clean water improvements along East Avenue in the vicinity of Hayward High School and East Avenue Elementary School",4400000,1461549,19/20,Y,InProgress,20,10,Alameda,,4,N,6/30/2021
'LSR-3422,Haviland Avenue Sidewalk Project,Alameda County,Local Streets and Roads,"Storm Drain/Culvert Installation (New), Sidewalk and/or Crosswalk Installation (New), ADA Curb Ramp Installation (New), Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Construct complete street improvements including curb, gutter, sidewalk, storm drain, pavement, and clean water improvements along Haviland Avenue in the vicinity of Cherryland Elementary School",1535000,491517,19/20,Y,InProgress,20,10,Alameda,,4,N,6/30/2021
'LSR-3423,Santa Maria Avenue Sidewalk Project,Alameda County,Local Streets and Roads,"Sidewalk and/or Crosswalk Installation (New), ADA Curb Ramp Installation (New), Paving and/or Striping Rehab/Repair (Existing Safety), Construct complete street improvements including curb, gutter, sidewalk, and clean water improvements along Santa Maria Avenue in the vicinity of Castro Valley High School and the CBD along Castro Valley Boulevard",6149000,2953404,19/20,Y,InProgress,20,10,Alameda,,4,N,6/30/2021
'LSR-5809,Stanton Ave Sidewalk Construction Project,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), ADA Curb Ramp Installation (New), Pavement Rehab/Repair (Existing), Sidewalk and/or Crosswalk Installation (New), Bicycle Lane (New), ADA Curb Ramp Rehab/Repair (Existing), Document Preparation, Cost Estimating, Landscape Safety Installation (New)",7486700,276750,19/20,Y,InProgress,20,10,Alameda,,4,N,6/30/2021
'LSR-5814,E 14th Street  Corridor Improvement Project - Phase II,Alameda County,Local Streets and Roads,"ADA Curb Ramp Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Traffic Signals, Lights, and/or Signage Rehab/Repair (Existing Safety), Landscape Safety Installation (New), Sidewalk and/or Crosswalk Rehab/Repair (Existing), Storm Drain and/or Culvert Rehab/Repair (Existing), Bicycle Lane (New), Pavement Rehab/Repair (Existing), Cost Estimating, Document Preparation",21631600,134900,19/20,Y,InProgress,20,10,Alameda,,4,N,6/30/2021
'LSR-5815,Greenville Road at Tesla Road Traffic Signal,Alameda County,Local Streets and Roads,"Traffic Signals, Lights, and/or Signage Installation (New Safety), Cost Estimating, Document Preparation",976400,28548,19/20,Y,InProgress,16,7,Alameda,,4,N,6/30/2021
'LSR-5822,19-20 Pavement Rehabilitation Project  (East County/Sunol),Alameda County,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Project Scope Development, Document Preparation, Cost Estimating",378000,13579,19/20,Y,InProgress,16,7,Alameda,,4,N,6/30/2021
'LSR-5823,19-20 Pavement Rehabilitation Project (Castro Valley Area),Alameda County,Local Streets and Roads,"Project Scope Development, Cost Estimating, Document Preparation",1340000,8916,19/20,Y,Planned,20,10,Alameda,,4,N,6/30/2021
'LSR-5824,19-20 Pavement Rehabilitation Project  (Fairview/El Portal Ridge/Ashland/Cherryland),Alameda County,Local Streets and Roads,"Preliminary Design, Cost Estimating, Project Scope Development, Document Preparation",1580000,10020,19/20,Y,Planned,20,10,Alameda,,4,N,6/30/2021
'LSR-5825,19-20 Microseal Project,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing), Document Preparation, Project Scope Development, Cost Estimating",600000,18253,19/20,Y,InProgress,20,10,Alameda,,4,N,6/30/2021
'LSR-5826,19-20 Slurry Seal Project,Alameda County,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Cost Estimating, Document Preparation, Project Scope Development",1045000,10557,19/20,Y,InProgress,20,10,Alameda,,4,N,6/30/2021
'LSR-5827,19-20 Pedestrian Ramp Project,Alameda County,Local Streets and Roads,"Cost Estimating, Project Scope Development, Document Preparation",705000,11738,19/20,Y,Planned,20,10,Alameda,,4,N,6/30/2021
'LSR-6439,2019 Overlay Project - Castro Valley,Alameda County,Local Streets and Roads,"Paving and/or Striping Rehab/Repair (Existing Safety), Pavement Rehab/Repair (Existing)",3328657,1318285,19/20,Y,InProgress,20,10,Alameda,,4,N,6/30/2021
'LSR-1693,Pedestrian Ramp Project,Alameda County,Local Streets and Roads,"ADA Curb Ramp Rehab/Repair (Existing), Install 47 pedestrian ramps at various locations in Castro Valley",495795,52649,19/20,Y,Completed,20,10,Alameda,,4,N,6/30/2021
'0419000382,Alameda County School Travel Opportunities Program,Alameda County Transportation Commission,Active Transportation Program,Comprehensive school transportation alternatives program targeting disadvantaged and high-collision communities to encourage active transportation in Alameda County K-12 schools.,4178000,3761000,18/19,Y,Planned,"18, 20, 25","07, 09, 10",Alameda,"Alameda, Albany, Berkeley, Dublin, Emeryville, Fremont, Hayward, Livermore, Newark, Oakland, Piedmont, Pleasanton, San Leandro, Union City",4,N,9/13/2021
'ATP3A-04-023M,"I-80 and Gilman Interchange, C Bicycle, Pedestrian Overcrossing and Access Improvements",Alameda County Transportation Commission,Active Transportation Program,"Bicycle and pedestrian components of I-80 Gilman interchange project including new overcrossing structure and segments of Class I trail and Class IV bikeway that provide access to overcrossing. Project connects adjacent neighborhoods to San Francisco Bay Trail, waterfront recreation, and job centers.  The full project reconfigures interchange as double roundabout.",42534000,4152000,16/17,Y,In Progress,15,9,Alameda,Berkeley,4,Y,9/13/2021
'0415000187,East Bay Greenway,Alameda County Transportation Commission,Active Transportation Program,"The greenway will be primarily a Class I trail with many sections constructed under the elevated BART tracks, and will provide a high quality facility for transportation and recreation.",3000000,0,14/15,N,Completed,"15, 16, 18, 20, 25","07, 09, 10",Alameda,"Oakland, San Leandro, Hayward",4,N,9/13/2021
'0418000252,7th Street Grade Separation (East),Alameda County Transportation Commission,Local Partnership Program - Formulaic,"In the city of Oakland within the Port of Oakland along 7th Street, from east of Maritime Street to just west of I-880 near Bay Street. Reconstruction of the existing underpass and multi-use path, and the reconstruction of rail tracks and other rail infrastructure at the UnionPacific Railroad (UPRR) mainline.",247200000,3180000,18/19,Y,Planned,18,9,Alameda,,4,N,5/24/2021
'0018000297,Freight Intelligent Transportation System,Alameda County Transportation Commission,Trade Corridor Enhancement Program,"In the City of Oakland, within the Port of Oaklands Seaport Area, along West Grand Avenue, Maritime Street, 7th Street, and Middle Harbor Road. Install and implement ITS elements and other technologies, which include changeable message signs, closed circuit TV, fiber optic and Wi-Fi communications, traffic signal enhancements, vehicle and queue detection, train queue detection, weigh-in-motion, information application, and smart parking system.",30600000,12456000,18/19,Y,In Progress,18,9,Alameda,"Alameda, Oakland",4,N,5/25/2021
'0418000252,7th Street Grade Separation (East),Alameda County Transportation Commission,Trade Corridor Enhancement Program,"In the city of Oakland within the Port of Oakland along 7th Street, from east of Maritime Street to just west of I-880 near Bay Street. Reconstruction of the existing underpass and multi-use path, and the reconstruction of rail tracks and other rail infrastructure at the UnionPacific Railroad (UPRR) mainline.",247200000,175000000,19/20,Y,Planned,18,9,Alameda,Oakland,4,N,5/25/2021
'0419000094,Purchase Zero Emission Buses - Phase 2,Alameda-Contra Costa Transit District,Local Partnership Program - Competitive,"In Alameda and Contra Costa counties across 13 densely populated cities and adjacent unincorporated areas. Procure 40 zero-emission replacement buses(20 hydrogen-fuel cell electric buses, 20 battery electric buses). All buses will be equipped with California Integrated Travel Project-compliant real-time bus dispatch, tracking and fare collection systems, traffic signal systems and bike racks.",46006000,15000000,18/19,Y,In Progress,18,9,Alameda,Oakland,4,N,6/2/2021
'1218000123,Orange County Signal Synchronization - Garden Grove Boulevard from Valley View Street to Bristol,Alameda-Contra Costa Transit District,Local Partnership Program - Competitive,"In the County of Orange, on Garden Grove Boulevard from Valley View Street to Bristol.",2706000,1353000,18/19,Y,In Progress,"65, 69, 72","29, 34",Orange,"Garden Grove, Orange, Santa Ana, Stanton, Westminster",4,N,5/25/2021
'0418000424,Customer Service Center Rehabilitation,Alameda-Contra Costa Transit District,Local Partnership Program - Formulaic,In the City of Oakland at 1600 Franklin Street is renovation of the Customer Service Center located at AC TransitG¦+s General Office to comply with the Americans with Disabilities Act (ADA) with improvements to both administrative spaces and the customer lobby.,1800000,815000,18/19,Y,In Progress,"15, 18, 20, 25","09, 10",Alameda,,4,N,9/14/2020
'0019000078,Purchase Zero Emission High Capacity Buses to Support Transbay Tomorrow and Clean Corridors Plan,Alameda-Contra Costa Transit District,Local Partnership Program - Formulaic,"Acquires 45 zero-emission buses (including 5 for service expansion) to transfrom the MacArthur-Grand Corridor Local and Transbay services, improve network connectivity with Transbay Capitol Corridor connections, allowing significant reduction in corridor emissionsand to add capacity on the Bay Bridge Transbay network.",67145000,253000,18/19,Y,In Progress,"15, 18, 20, 25",9,"Alameda, Contra Costa","Alameda, Berkeley, Fremont, Hayward, Menlo Park, Newark, Oakland, Palo Alto, Richmond, San Francisco, San Leandro, Union City",4,N,5/24/2021
'TEMP-SGR-6002-F,Replace Underground Storage Tanks at Division 2,Alameda-Contra Costa Transit District,State of Good Repair,Replace underground storage tanks that are regulatory mandates.,950000,950000,20/21,Y,Planned,15,9,Alameda,Emeryville,4,N,9/9/2021
'2020-6002-005,Replace Roof at Division 2,Alameda-Contra Costa Transit District,State of Good Repair,"Replace roof at Division 2 maintenance building - design phase in FY19-20, construction phase in FY20-21.",1408111,1408111,19/20,Y,In Progress,15,9,Alameda,Emeryville,4,N,9/9/2021
'2020-6002-004,Non-Revenue Vehicle Replacement,Alameda-Contra Costa Transit District,State of Good Repair,Purchase service trucks and passenger vehicles to replace existing vehicles that are due for retirement. Purchase will include approximately 8 heavy duty trucks and 4 passenger vehicles.,1000000,1000000,19/20,Y,In Progress,"15, 18, 20","09, 10",Alameda,"Emeryville, Hayward, Oakland, Richmond",4,N,9/9/2021
'2020-6002-006,Portable Lifts,Alameda-Contra Costa Transit District,State of Good Repair,Purchase portable lifts to be used in bus maintenance bays. Portable lifts are used to raise buses so that mechanics can get underneath to work on them. Portable lifts may be deployed at any of our five maintenance yards.,300000,300000,19/20,Y,In Progress,"15, 18, 20","09, 10",Alameda,"Emeryville, Hayward, Oakland, Richmond",4,N,9/9/2021
'TEMP-SGR-6002-E,Replace Underground Storage Tanks at Central Maintenance Facility,Alameda-Contra Costa Transit District,State of Good Repair,"Replace underground storage tanks at Central Maintenance Facility, which is a regulatory mandate.",2000000,2000000,20/21,Y,Planned,"15, 18",9,Alameda,Oakland,4,N,9/9/2021
'2018-6002-002,East Bay Bus Rapid Transit (EBBRT),Alameda-Contra Costa Transit District,State of Good Repair,"Funding will support ongoing construction on the East Bay Bus Rapid Transit (EBBRT) project. EBBRT will operate along a 9.5 mile corridor from downtown Oakland to the San Leandro BART Station, primarily along International Boulevard and East 14th Street.",8222548.14,8222548,17/18,Y,In Progress,18,"09, 10",Alameda,San Leandro,4,N,9/9/2021
'0019000078,Purchase Zero Emission High Capacity Buses to Support Transbay Tomorrow and Clean Corridors Plan (2018:1),Alameda-Contra Costa Transit District,Transit and Intercity Rail Capital Program,"Acquires 45 zero-emission buses (including 5 for service expansion) to transfrom the MacArthur-Grand Corridor Local and Transbay services, improve network connectivity with Transbay Capitol Corridor connections, allowing significant reduction in corridor emissionsand to add capacity on the Bay Bridge Transbay network.",67145000,7893000,18/19,Y,In Progress,"15, 18, 20, 25",9,"Alameda, Contra Costa"," Alameda,  Berkeley,  Fremont,  Hayward,  Menlo Park,  Newark,  Oakland,  Palo Alto,  Richmond,  San Francisco,  San Leandro, Union City",4,N,11/16/2021
'LSR-293,Hot Springs Road/Montgomery Street Guard Rail Replacement,Alpine County,Local Streets and Roads,"Preliminary Design, Paving and/or Striping Rehab/Repair (Existing Safety), Document Preparation, Cost Estimating, Project Scope Development, Environmental Study/Documents, Project will Replace 163 feet of guard rail that was damaged in an accident.",89068,89068,18/19,Y,Completed,5,1,Alpine,,10,N,6/30/2021
'LSR-7657,19-20 RMRA Projects,Alpine County,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Project Scope Development, Woodfords/Mesa Vista Slurry Seal and Markleeville Area Treatments were combined and renamed as 19-20 RMRA Projects.",1210222,605111,19/20,Y,Completed,5,1,Alpine,,10,N,6/30/2021
'1016000002,Hot Springs Road Reconstruction,Alpine County,State Transportation Improvement Program,"In Alpine County, near Markleeville, on Hot Springs Road from Laramie Street to end at Grover Hot Springs State Park.",4854000,0,18/19,N,Planned,5,1,Alpine,,10,N,10/27/2020
'2018-6126-001,Security cameras for Dial-A-Ride minivan,Alpine County Transportation Commission,State of Good Repair,"Installed REI HD5-600-2TB, 4 camera system with 2TB Hard Drive in the Alpine County Transit's Dial-A-Ride minivan.",875.94,875,17/18,Y,Completed,5,1,Alpine,,10,N,9/9/2021
'2019-6126-002,Bus Replacement,Alpine County Transportation Commission,State of Good Repair,Bus Replacement (9-Passenger) gas-powered,3461.36,3461,18/19,Y,In Progress,5,1,Alpine,,10,N,9/9/2021
'2019-6126-003,Preventative Maintenance,Alpine County Transportation Commission,State of Good Repair,Maintain existing 2008 Chevy minivan for Dial-A-Ride program.,2337.33,2337,18/19,Y,Completed,5,1,Alpine,,10,N,9/9/2021
'STA-20210301-0006,Alpine County Transportation Commission Fiscal Year 20/21 State Transit Assistance,Alpine County Transportation Commission,State Transit Assistance,Alpine County Transportation Commission Fiscal Year 20/21 State Transit Assistance,6406,2883,20/21,Y,In Progress,5,1,Alpine,,10,N,12/2/2021
'STA-20200301-0006,Alpine County Transportation Commission Fiscal Year 19/20 State Transit Assistance,Alpine County Transportation Commission,State Transit Assistance,Alpine County Transportation Commission Fiscal Year 19/20 State Transit Assistance,10494,4722,19/20,Y,Completed,5,1,Alpine,,3,N,12/2/2021
'STA-20180301-0006,Alpine County Transportation Commission Fiscal Year 17/18 State Transit Assistance,Alpine County Transportation Commission,State Transit Assistance,Alpine County Transportation Commission Fiscal Year 17/18 State Transit Assistance,7727,2549,17/18,Y,Completed,5,1,Alpine,,3,N,6/13/2020
'STA-20190301-0006,Alpine County Transportation Commission Fiscal Year 18/19 State Transit Assistance,Alpine County Transportation Commission,State Transit Assistance,Alpine County Transportation Commission Fiscal Year 18/19 State Transit Assistance,10056,4525,18/19,Y,Completed,5,1,Alpine,,3,N,6/13/2020
'16-ACE-02,Fremont Platform Extension,Altamont Corridor Express,State Rail Assistance,"Extend the length of the platform at the Fremont ACE station, allowing up to ten-car train to service the station and promoting safe and efficient boarding and alighting of passengers.",3400000,3400000,18/19,Y,Planned,"20, 25",5,Alameda,Fremont,4,N,10/4/2021
'16-ACE-04,Revenue Fleet Rehabilitation,Altamont Corridor Express,State Rail Assistance,"Enable components of ACE rolling stock to be replaced, repaired, or upgraded to ensure revenue vehicles are maintained in a state of good repair and operate in an efficient and safe manner throughout their useful life. Components of ACE rolling stock that will be updated include, but are not limited to, flooring, lighting, seating, and paint.",11000000,1500000,18/19,Y,In Progress,25,5,"San Francisco, San Mateo, Santa Clara","San Francisco, San Mateo, Santa Clara",4,N,10/4/2021
'16-ACE-07,Robert J. Cabral Station Expansion,Altamont Corridor Express,State Rail Assistance,"Reconstruct the Western Pacific (WP) building, creating additional passenger amenities for both ACE and San Joaquins passengers. The Project also includes other site improvements at the WP Depot, as well as parking optimizations and enhancements throughout the Cabral Station area.",6855228,4512688,18/19,Y,Planned,13,5,San Joaquin,Stockton,10,N,10/4/2021
'16-ACE-03,Lyoth Derail,Altamont Corridor Express,State Rail Assistance,"Replace hand-thrown derails with electric derails at the junction of the Union Pacific Oakland Subdivision and the California Northern Railroad line, near the Tracy ACE station, allowing ACE speeds through the junction to increase from 40 mph to 79 mph.",500000,500000,18/19,Y,Completed,13,5,San Joaquin,Tracy,10,N,10/4/2021
'16-ACE-06,Equipment Modernization Project,Altamont Corridor Express,State Rail Assistance,"Fund the procurement, construction, installation, and operation of both on-board and station equipment throughout the existing and future ACE corridors. Equipment upgrades will include, but are not limited to: WiFi, security cameras, operations monitoring and communications equipment, and passenger information displays systems, and involve both hardware purchase and installation.",1674810,587312,18/19,Y,Completed,"12, 13, 16, 20, 25, 27, 28",5,"San Joaquin, Alameda, Santa Clara","Stockton, Lathrop, Manteca, Tracy, Livermore, Pleasanton, Fremont, Santa Clara, San Jose","04, 10",N,10/4/2021
'16-ACE-05,Safety Improvement Fund,Altamont Corridor Express,State Rail Assistance,"Improve safety within the existing ACE corridor right-of-way, in order to reduce the likelihood of pedestrian injury. Funding will enable Union Pacific Railroad (UPRR) to conduct activities including, but not limited to, right-of-way clean up and debris clearing, encampment abatement, and updating signage within the existing ACE corridor.",500000,500000,18/19,Y,In Progress,"12, 13, 16, 20, 25, 27, 28",5,"San Joaquin, Alameda, Santa Clara","Stockton, Lathrop, Manteca, Tracy, Livermore, Pleasanton, Fremont, Santa Clara, San Jose","04, 10",N,10/4/2021
'16-ACE-01,Initiate ACE Weekend Service,Altamont Corridor Express,State Rail Assistance,"Establish 2 round-trips every Saturday (currently ACE only runs trains Monday through Friday), anticipated for an early 2019 start and for a duration of 12 months.",2500000,2500000,18/19,Y,In Progress,"12, 13, 16, 20, 25, 27, 28",5,"San Joaquin, Alameda, Santa Clara","Stockton, Lathrop, Manteca, Tracy, Livermore, Pleasanton, Fremont, Santa Clara, San Jose","04, 10",N,10/4/2021
'LSR-7696,Install Bollards to Protect Historic Structure,Amador City,Local Streets and Roads,Landscape Safety Installation (New),2600,2600,19/20,Y,Completed,5,8,Amador,Amador City,10,N,6/30/2021
'LSR-1700,2017/2018 Culvert Replacement Project,Amador County,Local Streets and Roads,"Preliminary Design, Cost Estimating, Sutter Creek Road Replace Culvert Crossing - 16 in dia x 54 ft long; Martin Lane Replace Culvert Crossing - 36 in dia x 40 ft; Martin Lane Replace Culvert Crossing - 36 in dia x 60 ft; Clinton Road Replace Culvert Crossing - 24 in dia x 60 ft; Stony Creek Road Replace Culvert Crossing - 18 in dia x 40 ft; Stony Creek Road Replace Culvert Crossing - 30 in dia x 40 ft; Latrobe Road Replace Culvert Crossing - 30 in dia x 60 ft; Clinton Road Replace Culvert Crossing - 42 in dia x 40 ft",124500,474,19/20,Y,Planned,5,8,Amador,,10,N,6/30/2021
'LSR-1702,Crack Filling - County Wide,Amador County,Local Streets and Roads,Crack filling of roads through out Amador  County,19844,19844,17/18,Y,Completed,5,8,Amador,,10,N,6/30/2021
'LSR-5859,Countywide Dig-Outs Repair Project,Amador County,Local Streets and Roads,"Pavement Rehab/Repair (Existing), Paving and/or Striping Rehab/Repair (Existing Safety), Paving and/or Striping Installation (New Safety)",720200,39188,19/20,Y,InProgress,5,8,Amador,,10,N,6/30/2021
